Phenotype,Source
41202#D226#Melanocytic naevi of upper limb including shoulder,Binary
41202#D227#Melanocytic naevi of lower limb including hip,Binary
41202#D229#Melanocytic naevi unspecified,Binary
41202#D23#Other benign neoplasms of skin,Binary
41202#D230#Benign neoplasm: Skin of lip,Binary
41202#D231#Benign neoplasm: Skin of eyelid including canthus,Binary
41202#D232#Benign neoplasm: Skin of ear and external auricular canal,Binary
41202#D233#Benign neoplasm: Skin of other and unspecified parts of face,Binary
41202#D234#Benign neoplasm: Skin of scalp and neck,Binary
41202#D235#Benign neoplasm: Skin of trunk,Binary
41202#D236#Benign neoplasm: Skin of upper limb including shoulder,Binary
41202#D237#Benign neoplasm: Skin of lower limb including hip,Binary
41202#D239#Benign neoplasm: Skin unspecified,Binary
41202#D24#Benign neoplasm of breast,Binary
41202#D25#Leiomyoma of uterus,Binary
41202#D250#Submucous leiomyoma of uterus,Binary
41202#D251#Intramural leiomyoma of uterus,Binary
41202#D252#Subserosal leiomyoma of uterus,Binary
41202#D259#Leiomyoma of uterus unspecified,Binary
41202#D26#Other benign neoplasms of uterus,Binary
41202#D260#Other benign neoplasm: Cervix uteri,Binary
41202#D261#Other benign neoplasm: Corpus uteri,Binary
41202#D269#Other benign neoplasm: Uterus unspecified,Binary
41202#D27#Benign neoplasm of ovary,Binary
41202#D28#Benign neoplasm of other and unspecified female genital organs,Binary
41202#D280#Benign neoplasm: Vulva,Binary
41202#D281#Benign neoplasm: Vagina,Binary
41202#D282#Benign neoplasm: Uterine tubes and ligaments,Binary
41202#D29#Benign neoplasm of male genital organs,Binary
41202#D291#Benign neoplasm: Prostate,Binary
41202#D30#Benign neoplasm of urinary organs,Binary
41202#D300#Benign neoplasm: Kidney,Binary
41202#D303#Benign neoplasm: Bladder,Binary
41202#D31#Benign neoplasm of eye and adnexa,Binary
41202#D310#Benign neoplasm: Conjunctiva,Binary
41202#D32#Benign neoplasm of meninges,Binary
41202#D320#Benign neoplasm: Cerebral meninges,Binary
41202#D321#Benign neoplasm: Spinal meninges,Binary
41202#D329#Benign neoplasm: Meninges unspecified,Binary
41202#D33#Benign neoplasm of brain and other parts of central nervous system,Binary
41202#D333#Benign neoplasm: Cranial nerves,Binary
41202#D34#Benign neoplasm of thyroid gland,Binary
41202#D35#Benign neoplasm of other and unspecified endocrine glands,Binary
41202#D350#Benign neoplasm: Adrenal gland,Binary
41202#D351#Benign neoplasm: Parathyroid gland,Binary
41202#D352#Benign neoplasm: Pituitary gland,Binary
41202#D36#Benign neoplasm of other and unspecified sites,Binary
41202#D360#Benign neoplasm: Lymph nodes,Binary
41202#D361#Benign neoplasm: Peripheral nerves and autonomic nervous system,Binary
41202#D367#Benign neoplasm: Other specified sites,Binary
41202#D37#Neoplasm of uncertain or unknown behaviour of oral cavity and digestive organs,Binary
41202#D370#Neoplasm of uncertain or unknown behaviour: Lip oral cavity and pharynx,Binary
41202#D371#Neoplasm of uncertain or unknown behaviour: Stomach,Binary
41202#D372#Neoplasm of uncertain or unknown behaviour: Small intestine,Binary
41202#D373#Neoplasm of uncertain or unknown behaviour: Appendix,Binary
41202#D374#Neoplasm of uncertain or unknown behaviour: Colon,Binary
41202#D375#Neoplasm of uncertain or unknown behaviour: Rectum,Binary
41202#D376#Neoplasm of uncertain or unknown behaviour: Liver gallbladder and bile ducts,Binary
41202#D377#Neoplasm of uncertain or unknown behaviour: Other digestive organs,Binary
41202#D379#Neoplasm of uncertain or unknown behaviour: Digestive organ unspecified,Binary
41202#D38#Neoplasm of uncertain or unknown behaviour of middle ear and respiratory and intrathoracic organs,Binary
41202#D380#Neoplasm of uncertain or unknown behaviour: Larynx,Binary
41202#D381#Neoplasm of uncertain or unknown behaviour: Trachea bronchus and lung,Binary
41202#D39#Neoplasm of uncertain or unknown behaviour of female genital organs,Binary
41202#D391#Neoplasm of uncertain or unknown behaviour: Ovary,Binary
41202#D40#Neoplasm of uncertain or unknown behaviour of male genital organs,Binary
41202#D400#Neoplasm of uncertain or unknown behaviour: Prostate,Binary
41202#D401#Neoplasm of uncertain or unknown behaviour: Testis,Binary
41202#D41#Neoplasm of uncertain or unknown behaviour of urinary organs,Binary
41202#D410#Neoplasm of uncertain or unknown behaviour: Kidney,Binary
41202#D412#Neoplasm of uncertain or unknown behaviour: Ureter,Binary
41202#D414#Neoplasm of uncertain or unknown behaviour: Bladder,Binary
41202#D43#Neoplasm of uncertain or unknown behaviour of brain and central nervous system,Binary
41202#D430#Neoplasm of uncertain or unknown behaviour: Brain supratentorial,Binary
41202#D432#Neoplasm of uncertain or unknown behaviour: Brain unspecified,Binary
41202#D44#Neoplasm of uncertain or unknown behaviour of endocrine glands,Binary
41202#D440#Neoplasm of uncertain or unknown behaviour: Thyroid gland,Binary
41202#D443#Neoplasm of uncertain or unknown behaviour: Pituitary gland,Binary
41202#D45#Polycythaemia vera,Binary
41202#D46#Myelodysplastic syndromes,Binary
41202#D462#Refractory anaemia with excess of blasts [RAEB],Binary
41202#D465#Refractory anaemia with multi-lineage dysplasia,Binary
41202#D469#Myelodysplastic syndrome unspecified,Binary
41202#D47#Other neoplasms of uncertain or unknown behaviour of lymphoid haematopoietic and related tissue,Binary
41202#D471#Chronic myeloproliferative disease,Binary
41202#D472#Monoclonal gammopathy of undetermined significance (MGUS),Binary
41202#D473#Essential (haemorrhagic) thrombocythaemia,Binary
41202#D474#Osteomyelofibrosis,Binary
41202#D479#Neoplasm of uncertain or unknown behaviour of lymphoid haematopoietic and related tissue unspecified,Binary
41202#D48#Neoplasm of uncertain or unknown behaviour of other and unspecified sites,Binary
41202#D480#Neoplasm of uncertain or unknown behaviour: Bone and articular cartilage,Binary
41202#D481#Neoplasm of uncertain or unknown behaviour: Connective and other soft tissue,Binary
41202#D485#Neoplasm of uncertain or unknown behaviour: Skin,Binary
41202#D486#Neoplasm of uncertain or unknown behaviour: Breast,Binary
41202#D487#Neoplasm of uncertain or unknown behaviour: Other specified sites,Binary
41202#D50#Iron deficiency anaemia,Binary
41202#D500#Iron deficiency anaemia secondary to blood loss (chronic),Binary
41202#D508#Other iron deficiency anaemias,Binary
41202#D509#Iron deficiency anaemia unspecified,Binary
41202#D52#Folate deficiency anaemia,Binary
41202#D529#Folate deficiency anaemia unspecified,Binary
41202#D58#Other hereditary haemolytic anaemias,Binary
41202#D589#Hereditary haemolytic anaemia unspecified,Binary
41202#D59#Acquired haemolytic anaemia,Binary
41202#D591#Other autoimmune haemolytic anaemias,Binary
41202#D61#Other aplastic anaemias,Binary
41202#D619#Aplastic anaemia unspecified,Binary
41202#D63#Anaemia in chronic diseases classified elsewhere,Binary
41202#D630#Anaemia in neoplastic disease,Binary
41202#D638#Anaemia in other chronic diseases classified elsewhere,Binary
41202#D64#Other anaemias,Binary
41202#D648#Other specified anaemias,Binary
41202#D649#Anaemia unspecified,Binary
41202#D66#Hereditary factor VIII deficiency,Binary
41202#D68#Other coagulation defects,Binary
41202#D680#Von Willebrand disease,Binary
41202#D683#Haemorrhagic disorder due to circulating anticoagulants,Binary
41202#D689#Coagulation defect unspecified,Binary
41202#D69#Purpura and other haemorrhagic conditions,Binary
41202#D690#Allergic purpura,Binary
41202#D693#Idiopathic thrombocytopenic purpura,Binary
41202#D695#Secondary thrombocytopenia,Binary
41202#D696#Thrombocytopenia unspecified,Binary
41202#D70#Agranulocytosis,Binary
41202#D72#Other disorders of white blood cells,Binary
41202#D721#Eosinophilia,Binary
41202#D728#Other specified disorders of white blood cells,Binary
41202#D73#Diseases of spleen,Binary
41202#D735#Infarction of spleen,Binary
41202#D75#Other diseases of blood and blood-forming organs,Binary
41202#D751#Secondary polycythaemia,Binary
41202#D752#D752 Essential thrombocytosis,Binary
41202#D758#Other specified diseases of blood and blood-forming organs,Binary
41202#D759#Disease of blood and blood-forming organs unspecified,Binary
41202#D76#Other specified diseases with participation of lymphoreticular and reticulohistiocytic tissue,Binary
41202#D763#Other histiocytosis syndromes,Binary
41202#D80#Immunodeficiency with predominantly antibody defects,Binary
41202#D801#Nonfamilial hypogammaglobulinaemia,Binary
41202#D83#Common variable immunodeficiency,Binary
41202#D839#Common variable immunodeficiency unspecified,Binary
41202#D84#Other immunodeficiencies,Binary
41202#D849#Immunodeficiency unspecified,Binary
41202#D86#Sarcoidosis,Binary
41202#D860#Sarcoidosis of lung,Binary
41202#D861#Sarcoidosis of lymph nodes,Binary
41202#D868#Sarcoidosis of other and combined sites,Binary
41202#D869#Sarcoidosis unspecified,Binary
41202#D89#Other disorders involving the immune mechanism not elsewhere classified,Binary
41202#D892#Hypergammaglobulinaemia unspecified,Binary
41202#D899#Disorder involving the immune mechanism unspecified,Binary
41202#E03#Other hypothyroidism,Binary
41202#E039#Hypothyroidism unspecified,Binary
41202#E04#Other nontoxic goitre,Binary
41202#E040#Nontoxic diffuse goitre,Binary
41202#E041#Nontoxic single thyroid nodule,Binary
41202#E042#Nontoxic multinodular goitre,Binary
41202#E049#Nontoxic goitre unspecified,Binary
41202#E05#Thyrotoxicosis [hyperthyroidism],Binary
41202#E050#Thyrotoxicosis with diffuse goitre,Binary
41202#E052#Thyrotoxicosis with toxic multinodular goitre,Binary
41202#E059#Thyrotoxicosis unspecified,Binary
41202#E06#Thyroiditis,Binary
41202#E063#Autoimmune thyroiditis,Binary
41202#E07#Other disorders of thyroid,Binary
41202#E078#Other specified disorders of thyroid,Binary
41202#E079#Disorder of thyroid unspecified,Binary
41202#E10#Type 1 diabetes mellitus,Binary
41202#E101#Type 1 diabetes mellitus; With ketoacidosis,Binary
41202#E103#Type 1 diabetes mellitus; With ophthalmic complications,Binary
41202#E105#Type 1 diabetes mellitus; With peripheral circulatory complications,Binary
41202#E109#Type 1 diabetes mellitus; Without complications,Binary
41202#E11#Type 2 diabetes mellitus,Binary
41202#E110#Type 2 diabetes mellitus; With coma,Binary
41202#E111#Type 2 diabetes mellitus; With ketoacidosis,Binary
41202#E112#Type 2 diabetes mellitus; With renal complications,Binary
41202#E113#Type 2 diabetes mellitus; With ophthalmic complications,Binary
41202#E114#Type 2 diabetes mellitus; With neurological complications,Binary
41202#E115#Type 2 diabetes mellitus; With peripheral circulatory complications,Binary
41202#E116#Type 2 diabetes mellitus; With other specified complications,Binary
41202#E119#Type 2 diabetes mellitus; Without complications,Binary
41202#E13#Other specified diabetes mellitus,Binary
41202#E139#Other specified diabetes mellitus; Without complications,Binary
41202#E14#Unspecified diabetes mellitus,Binary
41202#E143#Unspecified diabetes mellitus; With ophthalmic complications,Binary
41202#E149#Unspecified diabetes mellitus; Without complications,Binary
41202#E16#Other disorders of pancreatic internal secretion,Binary
41202#E160#Drug-induced hypoglycaemia without coma,Binary
41202#E161#Other hypoglycaemia,Binary
41202#E162#Hypoglycaemia unspecified,Binary
41202#E21#Hyperparathyroidism and other disorders of parathyroid gland,Binary
41202#E210#Primary hyperparathyroidism,Binary
41202#E213#Hyperparathyroidism unspecified,Binary
41202#E22#Hyperfunction of pituitary gland,Binary
41202#E220#Acromegaly and pituitary gigantism,Binary
41202#E222#Syndrome of inappropriate secretion of antidiuretic hormone,Binary
41202#E23#Hypofunction and other disorders of pituitary gland,Binary
41202#E230#Hypopituitarism,Binary
41202#E232#Diabetes insipidus,Binary
41202#E236#Other disorders of pituitary gland,Binary
41202#E237#Disorder of pituitary gland unspecified,Binary
41202#E24#Cushing syndrome,Binary
41202#E249#Cushing syndrome unspecified,Binary
41202#E26#Hyperaldosteronism,Binary
41202#E260#Primary hyperaldosteronism,Binary
41202#E27#Other disorders of adrenal gland,Binary
41202#E271#Primary adrenocortical insufficiency,Binary
41202#E272#Addisonian crisis,Binary
41202#E274#Other and unspecified adrenocortical insufficiency,Binary
41202#E278#Other specified disorders of adrenal gland,Binary
41202#E279#Disorder of adrenal gland unspecified,Binary
41202#E28#Ovarian dysfunction,Binary
41202#E282#Polycystic ovarian syndrome,Binary
41202#E29#Testicular dysfunction,Binary
41202#E291#Testicular hypofunction,Binary
41202#E34#Other endocrine disorders,Binary
41202#E349#Endocrine disorder unspecified,Binary
41202#E46#Unspecified protein-energy malnutrition,Binary
41202#E53#Deficiency of other B group vitamins,Binary
41202#E538#Deficiency of other specified B group vitamins,Binary
41202#E55#Vitamin D deficiency,Binary
41202#E559#Vitamin D deficiency unspecified,Binary
41202#E61#Deficiency of other nutrient elements,Binary
41202#E611#Iron deficiency,Binary
41202#E65#Localized adiposity,Binary
41202#E66#Obesity,Binary
41202#E668#Other obesity,Binary
41202#E669#Obesity unspecified,Binary
41202#E78#Disorders of lipoprotein metabolism and other lipidaemias,Binary
41202#E780#Pure hypercholesterolaemia,Binary
41202#E83#Disorders of mineral metabolism,Binary
41202#E831#Disorders of iron metabolism,Binary
41202#E833#Disorders of phosphorus metabolism and phosphatases,Binary
41202#E834#Disorders of magnesium metabolism,Binary
41202#E835#Disorders of calcium metabolism,Binary
41202#E85#Amyloidosis,Binary
41202#E854#Organ-limited amyloidosis,Binary
41202#E859#Amyloidosis unspecified,Binary
41202#E86#Volume depletion,Binary
41202#E87#Other disorders of fluid electrolyte and acid-base balance,Binary
41202#E870#Hyperosmolality and hypernatraemia,Binary
41202#E871#Hypo-osmolality and hyponatraemia,Binary
41202#E872#Acidosis,Binary
41202#E875#Hyperkalaemia,Binary
41202#E876#Hypokalaemia,Binary
41202#E877#Fluid overload,Binary
41202#E878#Other disorders of electrolyte and fluid balance not elsewhere classified,Binary
41202#E88#Other metabolic disorders,Binary
41202#E880#Disorders of plasma-protein metabolism not elsewhere classified,Binary
41202#F00#Dementia in Alzheimer disease,Binary
41202#F002#Dementia in Alzheimer disease atypical or mixed type,Binary
41202#F009#Dementia in Alzheimer disease unspecified,Binary
41202#F01#Vascular dementia,Binary
41202#F019#Vascular dementia unspecified,Binary
41202#F02#Dementia in other diseases classified elsewhere,Binary
41202#F03#Unspecified dementia,Binary
41202#F05#Delirium not induced by alcohol and other psychoactive substances,Binary
41202#F050#Delirium not superimposed on dementia so described,Binary
41202#F051#Delirium superimposed on dementia,Binary
41202#F058#Other delirium,Binary
41202#F059#Delirium unspecified,Binary
41202#F06#Other mental disorders due to brain damage and dysfunction and to physical disease,Binary
41202#F067#Mild cognitive disorder,Binary
41202#F072#Postconcussional syndrome,Binary
41202#F20#Schizophrenia,Binary
41202#F200#Paranoid schizophrenia,Binary
41202#F209#Schizophrenia unspecified,Binary
41202#F22#Persistent delusional disorders,Binary
41202#F220#Delusional disorder,Binary
41202#F23#Acute and transient psychotic disorders,Binary
41202#F239#Acute and transient psychotic disorder unspecified,Binary
41202#F25#Schizoaffective disorders,Binary
41202#F250#Schizoaffective disorder manic type,Binary
41202#F251#Schizoaffective disorder depressive type,Binary
41202#F259#Schizoaffective disorder unspecified,Binary
41202#F29#Unspecified nonorganic psychosis,Binary
41202#F30#Manic episode,Binary
41202#F300#Hypomania,Binary
41202#F302#Mania with psychotic symptoms,Binary
41202#F309#Manic episode unspecified,Binary
41202#F31#Bipolar affective disorder,Binary
41202#F310#Bipolar affective disorder current episode hypomanic,Binary
41202#F311#Bipolar affective disorder current episode manic without psychotic symptoms,Binary
41202#F312#Bipolar affective disorder current episode manic with psychotic symptoms,Binary
41202#F313#Bipolar affective disorder current episode mild or moderate depression,Binary
41202#F314#Bipolar affective disorder current episode severe depression without psychotic symptoms,Binary
41202#F315#Bipolar affective disorder current episode severe depression with psychotic symptoms,Binary
41202#F316#Bipolar affective disorder current episode mixed,Binary
41202#F317#Bipolar affective disorder currently in remission,Binary
41202#F319#Bipolar affective disorder unspecified,Binary
41202#F32#Depressive episode,Binary
41202#F320#Mild depressive episode,Binary
41202#F321#Moderate depressive episode,Binary
41202#F322#Severe depressive episode without psychotic symptoms,Binary
41202#F323#Severe depressive episode with psychotic symptoms,Binary
41202#F329#Depressive episode unspecified,Binary
41202#F33#Recurrent depressive disorder,Binary
41202#F330#Recurrent depressive disorder current episode mild,Binary
41202#F331#Recurrent depressive disorder current episode moderate,Binary
41202#F332#Recurrent depressive disorder current episode severe without psychotic symptoms,Binary
41202#F333#Recurrent depressive disorder current episode severe with psychotic symptoms,Binary
41202#F339#Recurrent depressive disorder unspecified,Binary
41202#F41#Other anxiety disorders,Binary
41202#F410#Panic disorder [episodic paroxysmal anxiety],Binary
41202#F411#Generalized anxiety disorder,Binary
41202#F412#Mixed anxiety and depressive disorder,Binary
41202#F419#Anxiety disorder unspecified,Binary
41202#F42#Obsessive-compulsive disorder,Binary
41202#F43#Reaction to severe stress and adjustment disorders,Binary
41202#F430#Acute stress reaction,Binary
41202#F432#Adjustment disorders,Binary
41202#F439#Reaction to severe stress unspecified,Binary
41202#F44#Dissociative [conversion] disorders,Binary
41202#F444#Dissociative motor disorders,Binary
41202#F445#Dissociative convulsions,Binary
41202#F99#Mental disorder not otherwise specified,Binary
41202#G001#Pneumococcal meningitis,Binary
41202#G03#Meningitis due to other and unspecified causes,Binary
41202#G039#Meningitis unspecified,Binary
41202#G04#Encephalitis myelitis and encephalomyelitis,Binary
41202#G048#Other encephalitis myelitis and encephalomyelitis,Binary
41202#G049#Encephalitis myelitis and encephalomyelitis unspecified,Binary
41202#G06#Intracranial and intraspinal abscess and granuloma,Binary
41202#G060#Intracranial abscess and granuloma,Binary
41202#G061#Intraspinal abscess and granuloma,Binary
41202#G08#Intracranial and intraspinal phlebitis and thrombophlebitis,Binary
41202#G11#Hereditary ataxia,Binary
41202#G119#Hereditary ataxia unspecified,Binary
41202#G12#Spinal muscular atrophy and related syndromes,Binary
41202#G122#Motor neuron disease,Binary
41202#G20#Parkinson disease,Binary
41202#G21#Secondary parkinsonism,Binary
41202#G23#Other degenerative diseases of basal ganglia,Binary
41202#G231#Progressive supranuclear ophthalmoplegia [Steele-Richardson-Olszewski],Binary
41202#G24#Dystonia,Binary
41202#G245#Blepharospasm,Binary
41202#G249#Dystonia unspecified,Binary
41202#G25#Other extrapyramidal and movement disorders,Binary
41202#G250#Essential tremor,Binary
41202#G253#Myoclonus,Binary
41202#G258#Other specified extrapyramidal and movement disorders,Binary
41202#G30#Alzheimer disease,Binary
41202#G300#Alzheimer disease with early onset,Binary
41202#G301#Alzheimer disease with late onset,Binary
41202#G308#Other Alzheimer disease,Binary
41202#G309#Alzheimer disease unspecified,Binary
41202#G31#Other degenerative diseases of nervous system not elsewhere classified,Binary
41202#G310#Circumscribed brain atrophy,Binary
41202#G312#Degeneration of nervous system due to alcohol,Binary
41202#G318#Other specified degenerative diseases of nervous system,Binary
41202#G319#Degenerative disease of nervous system unspecified,Binary
41202#G35#Multiple sclerosis,Binary
41202#G37#Other demyelinating diseases of central nervous system,Binary
41202#G373#Acute transverse myelitis in demyelinating disease of central nervous system,Binary
41202#G379#Demyelinating disease of central nervous system unspecified,Binary
41202#G40#Epilepsy,Binary
41202#G401#Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures,Binary
41202#G402#Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures,Binary
41202#G403#Generalized idiopathic epilepsy and epileptic syndromes,Binary
41202#G405#Special epileptic syndromes,Binary
41202#G406#Grand mal seizures unspecified (with or without petit mal),Binary
41202#G408#Other epilepsy,Binary
41202#G409#Epilepsy unspecified,Binary
41202#G41#Status epilepticus,Binary
41202#G410#Grand mal status epilepticus,Binary
41202#G419#Status epilepticus unspecified,Binary
41202#G43#Migraine,Binary
41202#G430#Migraine without aura [common migraine],Binary
41202#G431#Migraine with aura [classical migraine],Binary
41202#G433#Complicated migraine,Binary
41202#G438#Other migraine,Binary
41202#G439#Migraine unspecified,Binary
41202#G44#Other headache syndromes,Binary
41202#G440#Cluster headache syndrome,Binary
41202#G442#Tension-type headache,Binary
41202#G444#Drug-induced headache not elsewhere classified,Binary
41202#G448#Other specified headache syndromes,Binary
41202#G45#Transient cerebral ischaemic attacks and related syndromes,Binary
41202#G453#Amaurosis fugax,Binary
41202#G454#Transient global amnesia,Binary
41202#G458#Other transient cerebral ischaemic attacks and related syndromes,Binary
41202#G459#Transient cerebral ischaemic attack unspecified,Binary
41202#G47#Sleep disorders,Binary
41202#G470#Disorders of initiating and maintaining sleep [insomnias],Binary
41202#G471#Disorders of excessive somnolence [hypersomnias],Binary
41202#G472#Disorders of the sleep-wake schedule,Binary
41202#G473#Sleep apnoea,Binary
41202#G478#Other sleep disorders,Binary
41202#G479#Sleep disorder unspecified,Binary
41202#G50#Disorders of trigeminal nerve,Binary
41202#G500#Trigeminal neuralgia,Binary
41202#G501#Atypical facial pain,Binary
41202#G51#Facial nerve disorders,Binary
41202#G510#Bell palsy,Binary
41202#G513#Clonic hemifacial spasm,Binary
41202#G519#Disorder of facial nerve unspecified,Binary
41202#G52#Disorders of other cranial nerves,Binary
41202#G54#Nerve root and plexus disorders,Binary
41202#G540#Brachial plexus disorders,Binary
41202#G544#Lumbosacral root disorders not elsewhere classified,Binary
41202#G549#Nerve root and plexus disorder unspecified,Binary
41202#G55#Nerve root and plexus compressions in diseases classified elsewhere,Binary
41202#G550#Nerve root and plexus compressions in neoplastic disease,Binary
41202#G551#Nerve root and plexus compressions in intervertebral disc disorders,Binary
41202#G552#Nerve root and plexus compressions in spondylosis,Binary
41202#G553#Nerve root and plexus compressions in other dorsopathies,Binary
41202#G56#Mononeuropathies of upper limb,Binary
41202#G560#Carpal tunnel syndrome,Binary
41202#G561#Other lesions of median nerve,Binary
41202#G562#Lesion of ulnar nerve,Binary
41202#G563#Lesion of radial nerve,Binary
41202#G568#Other mononeuropathies of upper limb,Binary
41202#G57#Mononeuropathies of lower limb,Binary
41202#G570#Lesion of sciatic nerve,Binary
41202#G571#Meralgia paraesthetica,Binary
41202#G573#Lesion of lateral popliteal nerve,Binary
41202#G575#Tarsal tunnel syndrome,Binary
41202#G576#Lesion of plantar nerve,Binary
41202#G578#Other mononeuropathies of lower limb,Binary
41202#G58#Other mononeuropathies,Binary
41202#G588#Other specified mononeuropathies,Binary
41202#G589#Mononeuropathy unspecified,Binary
41202#G60#Hereditary and idiopathic neuropathy,Binary
41202#G600#Hereditary motor and sensory neuropathy,Binary
41202#G608#Other hereditary and idiopathic neuropathies,Binary
41202#G61#Inflammatory polyneuropathy,Binary
41202#G618#Other inflammatory polyneuropathies,Binary
41202#G62#Other polyneuropathies,Binary
41202#G628#Other specified polyneuropathies,Binary
41202#G629#Polyneuropathy unspecified,Binary
41202#G70#Myasthenia gravis and other myoneural disorders,Binary
41202#G700#Myasthenia gravis,Binary
41202#G71#Primary disorders of muscles,Binary
41202#G72#Other myopathies,Binary
41202#G724#Inflammatory myopathy not elsewhere classified,Binary
41202#G729#Myopathy unspecified,Binary
41202#G81#Hemiplegia,Binary
41202#G811#Spastic hemiplegia,Binary
41202#G819#Hemiplegia unspecified,Binary
41202#G82#Paraplegia and tetraplegia,Binary
41202#G821#Spastic paraplegia,Binary
41202#G822#Paraplegia unspecified,Binary
41202#G825#Tetraplegia unspecified,Binary
41202#G83#Other paralytic syndromes,Binary
41202#G834#Cauda equina syndrome,Binary
41202#G838#Other specified paralytic syndromes,Binary
41202#G90#Disorders of autonomic nervous system,Binary
41202#G900#Idiopathic peripheral autonomic neuropathy,Binary
41202#G902#Horner syndrome,Binary
41202#G909#Disorder of autonomic nervous system unspecified,Binary
41202#G91#Hydrocephalus,Binary
41202#G911#Obstructive hydrocephalus,Binary
41202#G912#Normal-pressure hydrocephalus,Binary
41202#G919#Hydrocephalus unspecified,Binary
41202#G93#Other disorders of brain,Binary
41202#G930#Cerebral cysts,Binary
41202#G932#Benign intracranial hypertension,Binary
41202#G934#Encephalopathy unspecified,Binary
41202#G936#Cerebral oedema,Binary
41202#G938#Other specified disorders of brain,Binary
41202#G939#Disorder of brain unspecified,Binary
41202#G95#Other diseases of spinal cord,Binary
41202#G951#Vascular myelopathies,Binary
41202#G952#Cord compression unspecified,Binary
41202#G958#Other specified diseases of spinal cord,Binary
41202#G959#Disease of spinal cord unspecified,Binary
41202#G96#Other disorders of central nervous system,Binary
41202#G960#Cerebrospinal fluid leak,Binary
41202#G961#Disorders of meninges not elsewhere classified,Binary
41202#G97#Postprocedural disorders of nervous system not elsewhere classified,Binary
41202#G971#Other reaction to spinal and lumbar puncture,Binary
41202#G978#Other postprocedural disorders of nervous system,Binary
41202#G98#Other disorders of nervous system not elsewhere classified,Binary
41202#G99#Other disorders of nervous system in diseases classified elsewhere,Binary
41202#G992#Myelopathy in diseases classified elsewhere,Binary
41202#H00#Hordeolum and chalazion,Binary
41202#H000#Hordeolum and other deep inflammation of eyelid,Binary
41202#H001#Chalazion,Binary
41202#H01#Other inflammation of eyelid,Binary
41202#H010#Blepharitis,Binary
41202#H018#Other specified inflammation of eyelid,Binary
41202#H019#Inflammation of eyelid unspecified,Binary
41202#H02#Other disorders of eyelid,Binary
41202#H020#Entropion and trichiasis of eyelid,Binary
41202#H021#Ectropion of eyelid,Binary
41202#H022#Lagophthalmos,Binary
41202#H023#Blepharochalasis,Binary
41202#H024#Ptosis of eyelid,Binary
41202#H025#Other disorders affecting eyelid function,Binary
41202#H026#Xanthelasma of eyelid,Binary
41202#H028#Other specified disorders of eyelid,Binary
41202#H029#Disorder of eyelid unspecified,Binary
41202#H04#Disorders of lacrimal system,Binary
41202#H041#Other disorders of lacrimal gland,Binary
41202#H042#Epiphora,Binary
41202#H044#Chronic inflammation of lacrimal passages,Binary
41202#H045#Stenosis and insufficiency of lacrimal passages,Binary
41202#H048#Other disorders of lacrimal system,Binary
41202#H049#Disorder of lacrimal system unspecified,Binary
41202#H05#Disorders of orbit,Binary
41202#H052#Exophthalmic conditions,Binary
41202#H058#Other disorders of orbit,Binary
41202#H06#Disorders of lacrimal system and orbit in diseases classified elsewhere,Binary
41202#H062#Dysthyroid exophthalmos,Binary
41202#H10#Conjunctivitis,Binary
41202#H104#Chronic conjunctivitis,Binary
41202#H109#Conjunctivitis unspecified,Binary
41202#H11#Other disorders of conjunctiva,Binary
41202#H110#Pterygium,Binary
41202#H111#Conjunctival degenerations and deposits,Binary
41202#H113#Conjunctival haemorrhage,Binary
41202#H114#Other conjunctival vascular disorders and cysts,Binary
41202#H118#Other specified disorders of conjunctiva,Binary
41202#H119#Disorder of conjunctiva unspecified,Binary
41202#H15#Disorders of sclera,Binary
41202#H16#Keratitis,Binary
41202#H160#Corneal ulcer,Binary
41202#H169#Keratitis unspecified,Binary
41202#H17#Corneal scars and opacities,Binary
41202#H18#Other disorders of cornea,Binary
41202#H181#Bullous keratopathy,Binary
41202#H182#Other corneal oedema,Binary
41202#H184#Corneal degeneration,Binary
41202#H185#Hereditary corneal dystrophies,Binary
41202#H186#Keratoconus,Binary
41202#H188#Other specified disorders of cornea,Binary
41202#H189#Disorder of cornea unspecified,Binary
41202#H20#Iridocyclitis,Binary
41202#H209#Iridocyclitis unspecified,Binary
41202#H21#Other disorders of iris and ciliary body,Binary
41202#H218#Other specified disorders of iris and ciliary body,Binary
41202#H25#Senile cataract,Binary
41202#H250#Senile incipient cataract,Binary
41202#H251#Senile nuclear cataract,Binary
41202#H258#Other senile cataract,Binary
41202#H259#Senile cataract unspecified,Binary
41202#H26#Other cataract,Binary
41202#H260#Infantile juvenile and presenile cataract,Binary
41202#H261#Traumatic cataract,Binary
41202#H262#Complicated cataract,Binary
41202#H264#After-cataract,Binary
41202#H268#Other specified cataract,Binary
41202#H269#Cataract unspecified,Binary
41202#H27#Other disorders of lens,Binary
41202#H270#Aphakia,Binary
41202#H271#Dislocation of lens,Binary
41202#H278#Other specified disorders of lens,Binary
41202#H30#Chorioretinal inflammation,Binary
41202#H31#Other disorders of choroid,Binary
41202#H318#Other specified disorders of choroid,Binary
41202#H33#Retinal detachments and breaks,Binary
41202#H330#Retinal detachment with retinal break,Binary
41202#H331#Retinoschisis and retinal cysts,Binary
41202#H332#Serous retinal detachment,Binary
